service,zone,region,country,year,percentage
Potable water,Rural,Central America,Panama,2022,83.23462887
Potable water,Urban,Central America,Panama,2000,93.19683599
Potable water,Urban,Central America,Panama,2022,97.91941567
Sanitation,Urban,Central America,Panama,2000,11.43488467
Sanitation,Urban,Central America,Panama,2022,49.97964793
Potable water,Rural,South America,Argentina,2000,60.91738927
Potable water,Rural,South America,Argentina,2016,85.88345288
Potable water,Urban,South America,Argentina,2000,95.41917211
Potable water,Urban,South America,Argentina,2022,99.41846336
Sanitation,Urban,South America,Argentina,2000,44.38012097
Sanitation,Urban,South America,Argentina,2022,46.21124412
Potable water,Rural,South America,Bolivia,2000,43.54559156
Potable water,Rural,South America,Bolivia,2022,63.14658789
Potable water,Urban,South America,Bolivia,2000,91.48354893
Potable water,Urban,South America,Bolivia,2022,96.4464189
Potable water,Rural,South America,Brazil,2000,46.97543851
Potable water,Rural,South America,Brazil,2022,97.98709219
Potable water,Urban,South America,Brazil,2000,93.28434615
Potable water,Urban,South America,Brazil,2022,99.82213934
Sanitation,Urban,South America,Brazil,2000,39.03270229
Sanitation,Urban,South America,Brazil,2022,51.42855613
Potable water,Rural,South America,Chile,2000,55.93968827
Potable water,Rural,South America,Chile,2022,97.97012339
Potable water,Urban,South America,Chile,2000,97.94279974
Potable water,Urban,South America,Chile,2022,100
Sanitation,Urban,South America,Chile,2000,70.11824839
Sanitation,Urban,South America,Chile,2022,99.24222426
Potable water,Rural,South America,Colombia,2000,69.64584723
Potable water,Rural,South America,Colombia,2022,84.65061932
Potable water,Urban,South America,Colombia,2000,97.99472298
Potable water,Urban,South America,Colombia,2022,99.60634701
Sanitation,Urban,South America,Colombia,2000,14.23094344
Sanitation,Urban,South America,Colombia,2022,16.83002925
Potable water,Rural,South America,Ecuador,2000,63.00969048
Potable water,Rural,South America,Ecuador,2022,87.86679699
Potable water,Urban,South America,Ecuador,2000,85.70433219
Potable water,Urban,South America,Ecuador,2022,100
Sanitation,Rural,South America,Ecuador,2000,42.50614181
Sanitation,Rural,South America,Ecuador,2022,61.00595321
Sanitation,Urban,South America,Ecuador,2000,38.32104073
Sanitation,Urban,South America,Ecuador,2022,30.93942329
Potable water,Rural,South America,Guyana,2000,76.2179875
Potable water,Rural,South America,Guyana,2022,90.42017341
Potable water,Urban,South America,Guyana,2000,84.22788165
Potable water,Urban,South America,Guyana,2022,83.79684418
Sanitation,Rural,South America,Guyana,2000,60.28368373
Sanitation,Rural,South America,Guyana,2022,47.96216047
Sanitation,Urban,South America,Guyana,2000,43.25987817
Sanitation,Urban,South America,Guyana,2022,34.11180169
Potable water,Rural,South America,Paraguay,2000,49.47171723
Potable water,Rural,South America,Paraguay,2022,95.66855122
Potable water,Urban,South America,Paraguay,2000,91.52032738
Potable water,Urban,South America,Paraguay,2022,99.02281618
Sanitation,Rural,South America,Paraguay,2000,32.72622675
Sanitation,Rural,South America,Paraguay,2022,58.97763199
Sanitation,Urban,South America,Paraguay,2000,50.33510228
Sanitation,Urban,South America,Paraguay,2022,52.95308591
Potable water,Rural,South America,Peru,2000,37.3577127
Potable water,Rural,South America,Peru,2022,79.01543798
Potable water,Urban,South America,Peru,2000,86.19460135
Potable water,Urban,South America,Peru,2022,90.04753152
Sanitation,Urban,South America,Peru,2000,10.84634889
Sanitation,Urban,South America,Peru,2022,61.62684
Potable water,Rural,South America,Suriname,2000,66.7342674
Potable water,Rural,South America,Suriname,2022,92.71123682
Potable water,Urban,South America,Suriname,2000,95.81922757
Potable water,Urban,South America,Suriname,2022,97.66185078
Sanitation,Rural,South America,Suriname,2000,37.38469185
Sanitation,Rural,South America,Suriname,2022,33.94891048
Sanitation,Urban,South America,Suriname,2000,25.46538781
Sanitation,Urban,South America,Suriname,2022,20.69352077
Potable water,Rural,South America,Uruguay,2000,74.808017
Potable water,Rural,South America,Uruguay,2022,95.30083
Potable water,Urban,South America,Uruguay,2000,98.2680827
Potable water,Urban,South America,Uruguay,2022,98.96462
Potable water,Rural,Caribbean,Cuba,2000,57.27753331
Potable water,Rural,Caribbean,Cuba,2022,91.83093652
