country,subregion,informalityRate,year,logGdpPerCapita,linearPrediction
Democratic Republic of the Congo,Others,97.344,2012,6.480500698,124.7729874
Burundi,Others,98.305,2014,6.613924503,121.5039368
Mozambique,Others,95.673,2015,7.172709465,107.8130188
Malawi,Others,87.079,2013,7.359745502,103.2304001
Sierra Leone,Others,93.11,2018,7.391451359,102.4535675
Liberia,Others,89.649,2017,7.428390503,101.5485153
Somalia,Others,82.487,2019,7.432626247,101.4447327
Chad,Others,96.923,2018,7.433348179,101.4270477
Niger,Others,98.49,2022,7.481891632,100.2376709
Madagascar,Others,96.083,2022,7.485369682,100.1524582
Afghanistan,Others,86.395,2021,7.668033123,95.67697144
Guinea-Bissau,Others,94.774,2022,7.81871891,91.98498535
Lesotho,Others,80.854,2019,7.843666553,91.37374115
Mali,Others,95.416,2022,7.854249001,91.11445618
Ethiopia,Others,85.212,2021,7.874109268,90.62785339
Uganda,Others,95.197,2021,7.896651745,90.07553864
Kiribati,Others,56.147,2020,7.908979893,89.77348328
