service,zone,region,country,year,percentage
Água potável,Urbana,América Central,Panamá,2022,97.91941567
Saneamento,Urbana,América Central,Panamá,2000,11.43488467
Saneamento,Urbana,América Central,Panamá,2022,49.97964793
Água potável,Rural,América do Sul,Argentina,2000,60.91738927
Água potável,Rural,América do Sul,Argentina,2016,85.88345288
Água potável,Urbana,América do Sul,Argentina,2000,95.41917211
Água potável,Urbana,América do Sul,Argentina,2022,99.41846336
Saneamento,Urbana,América do Sul,Argentina,2000,44.38012097
Saneamento,Urbana,América do Sul,Argentina,2022,46.21124412
Água potável,Rural,América do Sul,Bolívia,2000,43.54559156
Água potável,Rural,América do Sul,Bolívia,2022,63.14658789
Água potável,Urbana,América do Sul,Bolívia,2000,91.48354893
Água potável,Urbana,América do Sul,Bolívia,2022,96.4464189
Água potável,Rural,América do Sul,Brasil,2000,46.97543851
Água potável,Rural,América do Sul,Brasil,2022,97.98709219
Água potável,Urbana,América do Sul,Brasil,2000,93.28434615
Água potável,Urbana,América do Sul,Brasil,2022,99.82213934
Saneamento,Urbana,América do Sul,Brasil,2000,39.03270229
Saneamento,Urbana,América do Sul,Brasil,2022,51.42855613
Água potável,Rural,América do Sul,Chile,2000,55.93968827
Água potável,Rural,América do Sul,Chile,2022,97.97012339
Água potável,Urbana,América do Sul,Chile,2000,97.94279974
Água potável,Urbana,América do Sul,Chile,2022,100
Saneamento,Urbana,América do Sul,Chile,2000,70.11824839
Saneamento,Urbana,América do Sul,Chile,2022,99.24222426
Água potável,Rural,América do Sul,Colômbia,2000,69.64584723
Água potável,Rural,América do Sul,Colômbia,2022,84.65061932
Água potável,Urbana,América do Sul,Colômbia,2000,97.99472298
Água potável,Urbana,América do Sul,Colômbia,2022,99.60634701
Saneamento,Urbana,América do Sul,Colômbia,2000,14.23094344
Saneamento,Urbana,América do Sul,Colômbia,2022,16.83002925
Água potável,Rural,América do Sul,Equador,2000,63.00969048
Água potável,Rural,América do Sul,Equador,2022,87.86679699
Água potável,Urbana,América do Sul,Equador,2000,85.70433219
Água potável,Urbana,América do Sul,Equador,2022,100
Saneamento,Rural,América do Sul,Equador,2000,42.50614181
Saneamento,Rural,América do Sul,Equador,2022,61.00595321
Saneamento,Urbana,América do Sul,Equador,2000,38.32104073
Saneamento,Urbana,América do Sul,Equador,2022,30.93942329
Água potável,Rural,América do Sul,Guiana,2000,76.2179875
Água potável,Rural,América do Sul,Guiana,2022,90.42017341
Água potável,Urbana,América do Sul,Guiana,2000,84.22788165
Água potável,Urbana,América do Sul,Guiana,2022,83.79684418
Saneamento,Rural,América do Sul,Guiana,2000,60.28368373
Saneamento,Rural,América do Sul,Guiana,2022,47.96216047
Saneamento,Urbana,América do Sul,Guiana,2000,43.25987817
Saneamento,Urbana,América do Sul,Guiana,2022,34.11180169
Água potável,Rural,América do Sul,Paraguai,2000,49.47171723
Água potável,Rural,América do Sul,Paraguai,2022,95.66855122
Água potável,Urbana,América do Sul,Paraguai,2000,91.52032738
Água potável,Urbana,América do Sul,Paraguai,2022,99.02281618
Saneamento,Rural,América do Sul,Paraguai,2000,32.72622675
Saneamento,Rural,América do Sul,Paraguai,2022,58.97763199
Saneamento,Urbana,América do Sul,Paraguai,2000,50.33510228
Saneamento,Urbana,América do Sul,Paraguai,2022,52.95308591
Água potável,Rural,América do Sul,Peru,2000,37.3577127
Água potável,Rural,América do Sul,Peru,2022,79.01543798
Água potável,Urbana,América do Sul,Peru,2000,86.19460135
Água potável,Urbana,América do Sul,Peru,2022,90.04753152
Saneamento,Urbana,América do Sul,Peru,2000,10.84634889
Saneamento,Urbana,América do Sul,Peru,2022,61.62684
Água potável,Rural,América do Sul,Suriname,2000,66.7342674
Água potável,Rural,América do Sul,Suriname,2022,92.71123682
Água potável,Urbana,América do Sul,Suriname,2000,95.81922757
Água potável,Urbana,América do Sul,Suriname,2022,97.66185078
Saneamento,Rural,América do Sul,Suriname,2000,37.38469185
Saneamento,Rural,América do Sul,Suriname,2022,33.94891048
Saneamento,Urbana,América do Sul,Suriname,2000,25.46538781
Saneamento,Urbana,América do Sul,Suriname,2022,20.69352077
Água potável,Rural,América do Sul,Uruguai,2000,74.808017
Água potável,Rural,América do Sul,Uruguai,2022,95.30083
Água potável,Urbana,América do Sul,Uruguai,2000,98.2680827
Água potável,Urbana,América do Sul,Uruguai,2022,98.96462
Água potável,Rural,Caribe,Cuba,2000,57.27753331
Água potável,Rural,Caribe,Cuba,2022,91.83093652
Água potável,Urbana,Caribe,Cuba,2000,89.73525477
Água potável,Urbana,Caribe,Cuba,2022,93.47854122
Saneamento,Rural,Caribe,Cuba,2000,52.56521139
Saneamento,Rural,Caribe,Cuba,2022,55.95234651
Saneamento,Urbana,Caribe,Cuba,2000,39.2362446
Saneamento,Urbana,Caribe,Cuba,2022,37.05638937
Água potável,Rural,Caribe,Rep. Dominicana,2000,62.268696
Água potável,Rural,Caribe,Rep. Dominicana,2022,84.85905647
Água potável,Urbana,Caribe,Rep. Dominicana,2000,84.23342284
Água potável,Urbana,Caribe,Rep. Dominicana,2022,97.7804092
Saneamento,Rural,Caribe,Rep. Dominicana,2000,57.97603931
