service,zone,region,country,year,percentage
Agua potable,Rural,América del Sur,Argentina,2016,85.88345288
Agua potable,Urbana,América del Sur,Argentina,2000,95.41917211
Agua potable,Urbana,América del Sur,Argentina,2022,99.41846336
Saneamiento,Urbana,América del Sur,Argentina,2000,44.38012097
Saneamiento,Urbana,América del Sur,Argentina,2022,46.21124412
Agua potable,Rural,América del Sur,Bolivia,2000,43.54559156
Agua potable,Rural,América del Sur,Bolivia,2022,63.14658789
Agua potable,Urbana,América del Sur,Bolivia,2000,91.48354893
Agua potable,Urbana,América del Sur,Bolivia,2022,96.4464189
Agua potable,Rural,América del Sur,Brasil,2000,46.97543851
Agua potable,Rural,América del Sur,Brasil,2022,97.98709219
Agua potable,Urbana,América del Sur,Brasil,2000,93.28434615
Agua potable,Urbana,América del Sur,Brasil,2022,99.82213934
Saneamiento,Urbana,América del Sur,Brasil,2000,39.03270229
Saneamiento,Urbana,América del Sur,Brasil,2022,51.42855613
Agua potable,Rural,América del Sur,Chile,2000,55.93968827
Agua potable,Rural,América del Sur,Chile,2022,97.97012339
Agua potable,Urbana,América del Sur,Chile,2000,97.94279974
Agua potable,Urbana,América del Sur,Chile,2022,100
Saneamiento,Urbana,América del Sur,Chile,2000,70.11824839
Saneamiento,Urbana,América del Sur,Chile,2022,99.24222426
Agua potable,Rural,América del Sur,Colombia,2000,69.64584723
Agua potable,Rural,América del Sur,Colombia,2022,84.65061932
Agua potable,Urbana,América del Sur,Colombia,2000,97.99472298
Agua potable,Urbana,América del Sur,Colombia,2022,99.60634701
Saneamiento,Urbana,América del Sur,Colombia,2000,14.23094344
Saneamiento,Urbana,América del Sur,Colombia,2022,16.83002925
Agua potable,Rural,América del Sur,Ecuador,2000,63.00969048
Agua potable,Rural,América del Sur,Ecuador,2022,87.86679699
Agua potable,Urbana,América del Sur,Ecuador,2000,85.70433219
Agua potable,Urbana,América del Sur,Ecuador,2022,100
Saneamiento,Rural,América del Sur,Ecuador,2000,42.50614181
Saneamiento,Rural,América del Sur,Ecuador,2022,61.00595321
Saneamiento,Urbana,América del Sur,Ecuador,2000,38.32104073
Saneamiento,Urbana,América del Sur,Ecuador,2022,30.93942329
Agua potable,Rural,América del Sur,Guyana,2000,76.2179875
Agua potable,Rural,América del Sur,Guyana,2022,90.42017341
Agua potable,Urbana,América del Sur,Guyana,2000,84.22788165
Agua potable,Urbana,América del Sur,Guyana,2022,83.79684418
Saneamiento,Rural,América del Sur,Guyana,2000,60.28368373
Saneamiento,Rural,América del Sur,Guyana,2022,47.96216047
Saneamiento,Urbana,América del Sur,Guyana,2000,43.25987817
Saneamiento,Urbana,América del Sur,Guyana,2022,34.11180169
Agua potable,Rural,América del Sur,Paraguay,2000,49.47171723
Agua potable,Rural,América del Sur,Paraguay,2022,95.66855122
Agua potable,Urbana,América del Sur,Paraguay,2000,91.52032738
Agua potable,Urbana,América del Sur,Paraguay,2022,99.02281618
Saneamiento,Rural,América del Sur,Paraguay,2000,32.72622675
Saneamiento,Rural,América del Sur,Paraguay,2022,58.97763199
Saneamiento,Urbana,América del Sur,Paraguay,2000,50.33510228
Saneamiento,Urbana,América del Sur,Paraguay,2022,52.95308591
Agua potable,Rural,América del Sur,Perú,2000,37.3577127
Agua potable,Rural,América del Sur,Perú,2022,79.01543798
Agua potable,Urbana,América del Sur,Perú,2000,86.19460135
Agua potable,Urbana,América del Sur,Perú,2022,90.04753152
Saneamiento,Urbana,América del Sur,Perú,2000,10.84634889
Saneamiento,Urbana,América del Sur,Perú,2022,61.62684
Agua potable,Rural,América del Sur,Surinam,2000,66.7342674
