1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,country
17640.90287,17983.33504,18265.36334,18430.09617,18876.99299,17434.55578,18191.7363,19167.21354,20012.49185,20229.2345,20912.60994,20499.78229,20142.68168,20080.57136,20493.13037,20629.18636,21328.25938,21486.74567,21416.25065,19821.38217,20532.5739,20938.65247,21381.92855,21281.95251,21545.65292,21871.15272,22007.99675,22179.00102,22402.17695,22154.46303,20097.05171,21131.91576,21828.7656,22366.65789,Mexico
4118.447715,4016.162964,3940.719124,3838.940293,3882.529512,4027.877514,4202.898383,4295.026143,4384.070713,4622.53694,4743.243991,4818.281251,4793.459908,4855.153256,5053.109411,5203.372581,5345.845099,5539.413614,5648.796863,5384.404425,5540.141534,5804.085426,6090.865976,6298.198036,6504.700362,6719.136144,6926.059277,7144.739113,6808.075303,6519.91906,6318.269177,6873.731177,7031.220336,7250.354968,Nicaragua
11388.40802,12201.72554,12931.96004,13359.68721,13462.25006,13422.28519,13689.93835,14283.85098,15028.60566,15309.83975,15418.50605,15206.67393,15246.96271,15585.46162,16439.00021,17287.72883,18433.89347,20263.78292,21855.45732,21728.8381,22587.31552,24699.31804,26636.58288,27978.60176,28887.85879,30016.77577,30961.83377,32136.42604,32767.2762,33304.72098,27025.32158,30895.83225,33790.39568,35779.8161,Panama
6291.246783,6295.913384,6135.749932,6329.333682,6969.253417,7343.155343,7409.806177,7747.243104,7581.558633,7567.680917,7654.313684,7598.84366,7919.558189,8163.1513,8484.788617,8936.890333,9530.572147,10263.11709,11119.77363,11162.90601,12001.92897,12653.88696,13308.06279,13951.28775,14135.33331,14424.96018,14792.48899,14938.27103,15242.60093,15289.34114,13421.49025,15028.6277,15286.74286,15068.48868,Peru
9904.931864,9983.38497,9893.874152,10123.90766,10403.51962,10851.14536,10769.88884,10978.34169,10751.16505,10387.8604,9953.806396,9704.63859,9564.963891,9853.837339,10134.25086,10236.02633,10616.05385,11080.56387,11685.41361,11537.5316,12670.91117,13043.70993,12777.78376,13647.76089,14170.53808,14383.58612,14785.28513,15279.97356,15554.3945,15286.20531,14957.78457,15361.08475,15213.50824,15743.14153,Paraguay
6012.256671,5997.173217,6312.94025,6586.786236,6820.681403,7075.031568,7072.22385,7237.346866,7375.719004,7485.870076,7526.306008,7554.961098,7644.203655,7743.802856,7801.277918,8007.548582,8359.516936,8500.31085,8649.143624,8434.659501,8584.162236,8874.252195,9095.036911,9256.988225,9380.857201,9572.791073,9785.315202,9979.47653,10204.45016,10446.73094,9603.024832,10709.75958,10970.96858,11305.21686,El Salvador
16980.58018,17303.85492,17226.47299,15963.69863,16344.97834,16046.21008,15865.47466,16434.58574,16489.9103,15958.06801,16002.69791,16387.56582,16565.27369,17325.27295,18547.85756,19170.44575,20055.64177,20844.27918,21464.32993,21863.50787,22737.0386,23802.60599,24181.73673,24633.50863,24447.82836,23375.7099,21999.04957,22111.3654,22964.88694,22978.12933,19092.20426,18447.33994,18741.74285,18971.22475,Suriname
11828.49051,12103.8829,13229.34948,13054.79336,13443.40366,13886.98271,14814.17719,15871.38484,17103.76104,18413.7798,19608.63252,20328.91085,21821.76911,24833.12321,26657.21973,28148.9166,31685.30372,33001.33943,33926.09629,32241.98028,33098.37903,32774.96887,34960.67435,35935.33791,37064.64113,36536.80541,33576.16044,31763.67828,31024.63229,30824.39703,28059.57333,27631.67781,27942.69055,28458.0334,Trinidad and Tobago
14049.46349,14461.45614,15517.62173,15839.52986,16895.91942,16556.07034,17380.24604,18758.67305,19500.50952,19108.57016,18664.30459,17899.44202,16487.97374,16601.86451,17413.71546,18691.00731,19430.03307,20661.44165,22094.51994,22976.79484,24707.00624,25912.96111,26754.23225,27911.78451,28726.73316,28738.70643,29130.60968,29564.55022,29571.34942,29834.03839,27626.80147,29187.42868,30592.30327,30701.90586,Uruguay
7341.880656,7405.962584,7847.554856,8152.403806,8027.871006,8633.939756,8736.26132,9043.588258,9422.641165,9692.456792,9867.072637,10054.76714,10609.7377,11353.89779,11873.56421,12230.40959,13158.50634,13669.73471,13788.25124,13657.15137,13110.11042,13103.15045,13332.38376,13741.16826,13982.98032,14430.18741,15102.06152,15380.95859,15909.79471,16069.56488,15511.86941,15673.73704,16857.99725,17915.27989,Saint Vincent and the Grenadines
